measure_name,datum,state_id,state_name,first_year,last_year,footnotes,sources
"No. of pregnancies ending in birth",10445,AK,Alaska,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",58941,AL,Alabama,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",37520,AR,Arkansas,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",81872,AZ,Arizona,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",471658,CA,California,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",64382,CO,Colorado,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",35221,CT,Connecticut,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",10855,DE,Delaware,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",223630,FL,Florida,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",129243,GA,Georgia,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
